# Description
# Format : #of Vertices(n) R G B [filling color] 
#(first polygon - in depth sorted order - nearest to viewer the last)
#            X1 Y1
#            X2 Y2
#            .  .  counterclock wise
#            .  .
#            Xn Yn
#	    
#	.
#	.
#	.
#
# description of scene : a simple crab with a red body and yellow eyes -
#

7  1.0 1.0 0.0  
295 260
300 275
300 285
285 275
270 285
270 275
275 260

7  1.0 1.0 0.0  
365 260
370 275
370 285
355 275
340 285
340 275
345 260

6  1.0 0.0 0.0  
265 251
235 270
235 305
215 305
215 255
253 235

6  1.0 0.0 0.0  
375 251
387 235
425 255
425 305
405 305
405 270

6  1.0 0.0 0.0  
230 205
165 245
165 295
145 295
145 230
218 189

6  1.0 0.0 0.0  
422 189
495 230
495 295
475 295
475 245
410 205

6  1.0 0.0 0.0  
165 50
165 100
230 140
218 156
145 115
145 50

6  1.0 0.0 0.0  
495 50
495 115
422 156
410 140
475 100
475 50

6  1.0 0.0 0.0  
235 40
235 75
265 94
253 110
215 90
215 40

6  1.0 0.0 0.0  
425 40
425 90
387 110
375 94
405 75
405 40

8  1.0 0.0 0.0  
370 85
430 140
430 210
370 265
270 265
210 210
210 140
270 85

