

 4 0.9 0.1 0.4
 200  150
 350  150
 350  300
 200  300

 3 0.4 0.4 0.4
 200  300
 350  300
 275  400

 4 0.5 0.5 0.5
 350  150
 550  200
 550  350
 350  300

 4 0.9 0.9 0.9
 350  300
 550  350
 500  450
 275  400 

 4 2 2 9
 246  150
 296  150
 296  225
 246  225

 4 1 0 0
 151  1
 201  1
 296  150
 246  150

 6 0.0 1.0 1.0
 585  1
 699  1
 699  250
 585  250
 610  230
 610  21

 16 0.0 0.3 0 
 650  230
 675  240
 725  255
 730  280
 750  330
 735  355
 725  405
 700  415
 650  430
 625  420
 575  405
 565  380
 550  330
 560  305
 575  255
 600  245

