16 0.3 0.5 1.
170 40
170 20
245 20
245 40
240 40
220 65
220 120
225 120


220 120
220 220

170 220

################################################
#############################

170 130
180 125
170 120
170 50
200 40


16 0.2 0.2 0.2

250 40
250 20
325 20
325 40
320 40
300 65
300 120
305  120
300 120
300 220
250 220
250 130 
260 125
250 120
250 50
280 40


10 0.2 0.2 0.2

170 420
220 420
275 330
320 370
330 390
310 405
340 420
370 400
350 370
260 290 

10 0.2 0.2 0.2
250 420
300 420
355 330
400 370
410 390
390 405
420 420
450 400
430 370
340 290

4 0.3 0.5 1.0


220 420
250 420
250 460
220 460

17 0.3 0.5 1.0

220 460
250 460
275 490
275 495
265 498
275 500
275 504
280 506
275 509
275 512
265 515
275 517
275 520
250 540
220 540
210 520
210 490

8 0.6 0.2 0.7

140 220
340 220
340 290
309 333
259 289
170 420
160 340
140 310

#8 1 1 1 

#250 530
#260 530 
#265 525
#270 520
#265 520
#263 523
#270 525
#250 525

#235 515
#245 515
#250 510
#255 505
#250 505
#248 508
#245 510
#235 510


#6 1 1 1

#252 522
#256 520
#260 518
#264 520
#260 522
#256 524

#237 507
#241 505
#245 503
#249 505
#245 507
#241 509

7  0.6 1.2 0.7

275 328
298 348
250 420
245 420
239 400 
225 420
220 420


4 0.4 0.7 0.1 

160 175
160 220
230 220
230 175

4 0.4 0.7 0.1 
240 175
240 220
310 220
310 175
